apartment_id,area_id,entity_subtype,geometry,elevation,height,orientation,window_area,layout_area,window_floor_ratio,door_connection1,door_connection2,view_landscape_nature_mean,view_landscape_urban_mean
Design3,305,WINDOW,"POLYGON((-4.8480166962 10.6349911023,-5.41748585277 10.8239484512,-5.34190291319 11.0517361139,-4.77243375663 10.8627787649,-4.8480166962 10.6349911023))",8.9,10.4,South,0.9,0,0,0,0,0,0
Design3,306,WINDOW,"POLYGON((2.41649413283 11.9725180137,2.22717303716 11.4031696821,1.99943370451 11.4788981203,2.18875480017 12.0482464520,2.41649413283 11.9725180137))",8.9,10.4,East,0.9,0,0,0,0,0,0
Design3,306,OUTSIDE_DOOR,"POLYGON((1.47022012553 9.12579580925,2.03788686520 10.8339260436,1.81010775853 10.9095352023,1.24244101886 9.20140496791,1.47022012553 9.12579580925))",8.7,11.1,East,4.31997,0,0,306,307,0,0
Design3,0,DOOR,"POLYGON((-3.28542641978 15.3919273219,-4.04455752863 15.6443554495,-4.00038260630 15.7772033935,-3.24125149746 15.5247752660,-3.28542641978 15.3919273219))",0,0,0,0,0,0,302,0,0,0
Design3,0,DOOR,"POLYGON((-5.86745410486 16.6456198448,-5.83583997734 16.7404910572,-5.07687027818 16.4875780371,-5.1084844057 16.3927068247,-5.86745410486 16.6456198448))",0,0,0,0,0,0,302,303,0,0
Design3,0,DOOR,"POLYGON((-6.93494599416 16.9230956552,-7.02985752026 16.9545885467,-7.28180065219 16.1952963379,-7.18688912610 16.1638034464,-6.93494599416 16.9230956552))",0,0,0,0,0,0,300,302,0,0
Design3,0,DOOR,"POLYGON((-7.53441868123 15.1200104297,-7.62928989363 15.1516245572,-7.37637687348 15.9105942563,-7.28150566109 15.8789801288,-7.53441868123 15.1200104297))",0,0,0,0,0,0,301,302,0,0
Design3,0,DOOR,"POLYGON((-2.26067644684 12.8083934366,-2.22918355535 12.9033049627,-2.98847576410 13.1552480946,-3.01996865559 13.0603365685,-2.26067644684 12.8083934366))",0,0,0,0,0,0,302,305,0,0
Design3,0,DOOR,"POLYGON((-1.86630976515 13.6784684881,-1.77141837654 13.6469149721,-2.02384650407 12.8877838633,-2.11873789268 12.9193373792,-1.86630976515 13.6784684881))",0,0,0,0,0,0,302,306,0,0
Design3,0,FLOOR,"POLYGON((-6.7748722858 29.3017138971,-12.1739625646 13.0649441281,-4.70461013538 10.5864252624,-10.1037004142 -5.65034450660,4.66177757655 -10.5499012096,10.0608678554 5.68686855934,2.59223924315 8.16756417147,7.99060570495 24.4021571940,-6.7748722858 29.3017138971))",8.7,0,0,0,0,0,0,0,0,0
Design3,0,FLOOR_OUTDOOR_SPACE,"POLYGON((1.29662667547 8.59838442198,2.59223924315 8.16756417147,7.99060570495 24.4021571940,6.69472257742 24.8321637856,1.29662667547 8.59838442198))",8.7,0,0,0,0,0,0,0,0,0
